player,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Nikola Jokic,DEN,Post Scorer,"2,476",C,27,,7.8,5.68,2.12,15.5,6.53,5.11,1.42,3.74,2.35,1.39
Giannis Antetokounmpo,MIL,Roll + Cut Big,"2,204",PF,27,,6.54,4.37,2.17,12.3,6.58,4.97,1.61,2.3,0.94,1.36
Joel Embiid,PHI,Post Scorer,"2,297",C,28,,6.39,4.29,2.09,12.7,5.63,4.36,1.27,1.03,0.43,0.6
Rudy Gobert,UTA,Roll + Cut Big,"2,120",C,29,,5.32,1.57,3.75,10.4,5.04,1.72,3.32,0.92,0.85,0.07
Jayson Tatum,BOS,Shot Creator,"2,731",SF,24,,5.11,3.85,1.26,13,3.97,3.22,0.75,1.7,1.19,0.51
Stephen Curry,GSW,Primary Ball Handler,"2,211",PG,34,,4.4,4,0.4,9.6,3.85,3.66,0.19,2.21,1.65,0.56
Al Horford,BOS,Stretch Big,"2,005",C,35,,4.12,0.57,3.55,8.4,3.05,0.59,2.46,0.77,-0.16,0.93
Kevin Durant,BRK,Shot Creator,"2,047",PF,33,,3.95,3.52,0.43,8.3,2.85,3.15,-0.3,1.9,1.61,0.29
Kristaps Porzingis,DAL/WAS,Versatile Big,"1,481",PF,26,,3.91,2.09,1.82,6,3.75,2.54,1.21,0.91,0.06,0.85
Chris Paul,PHO,Primary Ball Handler,"2,139",PG,36,,3.83,2.75,1.08,8.5,4.13,2.51,1.62,0.51,0.15,0.36
Ja Morant,MEM,Slasher,"1,889",PG,22,,3.45,3.93,-0.48,7.1,2.34,3.11,-0.77,0.67,0.7,-0.03
Jimmy Butler,MIA,Slasher,"1,931",SF,32,,3.4,3.1,0.3,7.2,3.92,2.98,0.94,1.49,1.13,0.35
Hassan Whiteside,UTA,Roll + Cut Big,"1,162",C,32,,3.39,0.94,2.45,4.3,2.6,0.13,2.47,0.99,1.28,-0.29
LeBron James,LAL,Stretch Big,"2,084",SF,37,,3.37,3.07,0.3,7.7,3.05,3.39,-0.34,0.19,0.73,-0.53
Dejounte Murray,SAS,Slasher,"2,366",PG,25,,3.35,2.77,0.58,8.8,3.09,2.36,0.73,0.34,0.82,-0.49
Jrue Holiday,MIL,Shot Creator,"2,208",PG,31,,3.32,2.3,1.03,8.1,2,1.83,0.17,2.75,1.57,1.18
Myles Turner,IND,Stretch Big,"1,235",C,26,,3.27,0.01,3.26,4.5,1.94,-0.28,2.23,2.34,0.56,1.78
James Harden,BRK/PHI,Shot Creator,"2,420",PG-SG,32,,3.13,3.44,-0.31,8.6,3.13,3.06,0.07,0.3,1.53,-1.23
Jaren Jackson Jr.,MEM,Stretch Big,"2,126",PF,22,,3.1,0.45,2.65,7.5,2.44,0.31,2.13,2.6,0.58,2.02
Luka Doncic,DAL,Shot Creator,"2,301",PG,23,,3,3.48,-0.48,8,4.68,4.24,0.44,-0.25,0.89,-1.15
Trae Young,ATL,Shot Creator,"2,652",PG,23,,2.93,5.15,-2.21,9.1,3.05,4.99,-1.94,-0.18,1.28,-1.45
Clint Capela,ATL,Roll + Cut Big,"2,042",C,27,,2.89,0.79,2.1,7,2.53,0.77,1.76,0.85,1.14,-0.29
Jakob Poeltl,SAS,Roll + Cut Big,"1,970",C,26,,2.87,1.46,1.41,6.7,0.99,-0.02,1.01,2.12,2.05,0.06
Karl-Anthony Towns,MIN,Stretch Big,"2,476",C,26,,2.84,3.03,-0.2,8.4,2.73,2.46,0.26,-0.24,1.14,-1.37
Jose Alvarado,NOP,Secondary Ball Handler,834,PG,23,,2.75,1.39,1.36,2.8,0.89,0.2,0.69,0.86,0.53,0.33
Jarrett Allen,CLE,Roll + Cut Big,"1,810",C,23,,2.73,0.54,2.19,6,2.19,0.6,1.59,1.52,0.57,0.95
Devin Booker,PHO,Shot Creator,"2,345",SG,25,,2.7,3.24,-0.54,7.7,2.69,2.75,-0.05,1.33,0.54,0.79
Bam Adebayo,MIA,Post Scorer,"1,825",C,24,,2.68,0.56,2.13,6,2.97,1.01,1.96,0.51,-0.36,0.88
Mike Conley,UTA,Primary Ball Handler,"2,058",PG,34,,2.6,1.63,0.97,6.6,2.69,2.39,0.3,0.25,0.26,0.01
Anthony Davis,LAL,Post Scorer,"1,404",C,29,,2.6,0.71,1.89,4.5,2.72,1.46,1.26,0.28,0.09,0.19
Shai Gilgeous-Alexander,OKC,Shot Creator,"1,942",PG,23,,2.5,2.54,-0.04,6.1,0.76,1.02,-0.26,2.28,1.62,0.66
Darius Garland,CLE,Primary Ball Handler,"2,430",PG,22,,2.47,2.17,0.29,7.6,1.31,1.81,-0.49,1.07,0.61,0.46
Domantas Sabonis,IND/SAC,Post Scorer,"2,136",C-PF,25,,2.45,1.17,1.29,6.7,1.51,1.49,0.02,0.89,0.4,0.49
Paul George,LAC,Shot Creator,"1,077",SF,31,,2.26,0.74,1.52,3.2,1.88,1.52,0.36,0.13,-1.03,1.16
Pascal Siakam,TOR,Shot Creator,"2,578",PF,28,,2.26,1.68,0.59,7.8,1.57,1.06,0.51,0.63,0.72,-0.09
Isaiah Hartenstein,LAC,Roll + Cut Big,"1,216",C,23,,2.19,0.46,1.74,3.6,1.42,-0.2,1.62,2.04,0.66,1.39
Fred VanVleet,TOR,Primary Ball Handler,"2,462",PG,28,,2.16,1.38,0.78,7.3,1.93,1.72,0.21,1.22,0.59,0.63
Malcolm Brogdon,IND,Primary Ball Handler,"1,206",PG,29,,2.15,2.55,-0.4,3.5,1.04,1.92,-0.89,2,1.59,0.41
Kyrie Irving,BRK,Shot Creator,"1,091",PG,30,,2.14,2.73,-0.6,3.2,1.66,2.47,-0.81,0,0,0
Damian Lillard,POR,Shot Creator,"1,056",PG,31,,2.13,3.29,-1.17,3.1,0.74,2.59,-1.84,3.18,2.01,1.16
Marcus Smart,BOS,Primary Ball Handler,"2,296",PG,28,,2.04,0.91,1.12,6.6,1.78,0.48,1.3,2.67,2.08,0.59
Robert Williams,BOS,Roll + Cut Big,"1,804",C,24,,2.04,-0.21,2.25,5.2,3.06,0.18,2.88,-1.82,-1.09,-0.73
Draymond Green,GSW,Roll + Cut Big,"1,329",PF,32,,2.01,-1.45,3.47,3.8,1.99,-0.89,2.88,0.87,-0.07,0.94
Andre Drummond,PHI/BRK,Roll + Cut Big,"1,437",C,28,,1.99,0.07,1.92,4.1,1.74,-0.24,1.98,-0.09,0.42,-0.51
Wendell Carter Jr.,ORL,Stretch Big,"1,852",C,22,,1.98,-0.03,2.01,5.2,0.41,-0.41,0.81,-0.61,-1.13,0.52
Jonas Valanciunas,NOP,Post Scorer,"2,240",C,29,,1.96,0.55,1.41,6.3,1.34,0.61,0.73,-0.45,-1.4,0.94
Otto Porter Jr.,GSW,Stretch Big,"1,401",PF,28,,1.93,0.08,1.85,3.9,1.4,0.09,1.31,1.57,0.36,1.21
Steven Adams,MEM,Roll + Cut Big,"1,999",C,28,,1.92,0.76,1.16,5.6,1.21,0.12,1.09,2.04,0.77,1.27
Gary Payton II,GSW,Stretch Big,"1,242",PG,29,,1.91,0.15,1.76,3.5,1.14,-0.37,1.51,2.44,1.41,1.04
Donovan Mitchell,UTA,Primary Ball Handler,"2,266",SG,25,,1.9,3.45,-1.55,6.3,3.23,3.99,-0.76,1.82,1.73,0.09
Herbert Jones,NOP,Athletic Finisher,"2,335",PF,23,,1.89,-0.32,2.21,6.5,-0.49,-1.69,1.2,2.72,1.3,1.43
Terry Rozier,CHO,Primary Ball Handler,"2,458",SG,28,,1.82,1.96,-0.14,6.7,1.11,2.02,-0.91,0.27,0.15,0.12
Desmond Bane,MEM,Movement Shooter,"2,266",SF,23,,1.82,1.48,0.34,6.2,1.58,1.37,0.21,0.98,-0.12,1.1
Brandon Clarke,MEM,Roll + Cut Big,"1,246",PF,25,,1.77,1.07,0.7,3.4,1.14,0.59,0.55,0.63,0.98,-0.36
Kyle Lowry,MIA,Primary Ball Handler,"2,133",PG,36,,1.76,0.44,1.32,5.7,1.87,0.97,0.9,0.73,0.14,0.59
Patrick Beverley,MIN,Primary Ball Handler,"1,476",PG,33,,1.74,1.01,0.73,3.9,1.66,0.59,1.08,0.82,1.58,-0.76
Lauri Markkanen,CLE,Stretch Big,"1,878",PF,24,,1.73,1.28,0.45,5,0.89,0.3,0.58,1.39,2,-0.61
Miles Bridges,CHO,Stationary Shooter,"2,837",PF,24,,1.72,1.96,-0.24,7.5,1.05,1.3,-0.26,0.76,1.81,-1.05
Immanuel Quickley,NYK,Primary Ball Handler,"1,802",PG,22,,1.68,1.97,-0.29,4.7,0.06,0.74,-0.68,0.65,0.71,-0.06
Jaylen Brown,BOS,Stationary Shooter,"2,220",SF,25,,1.63,1.32,0.31,5.8,2.19,1.98,0.21,-0.19,-0.86,0.67
Chris Boucher,TOR,Stretch Big,"1,690",PF,29,,1.62,0.98,0.64,4.4,0.68,0,0.68,-0.18,0.05,-0.23
Jusuf Nurkic,POR,Post Scorer,"1,579",C,27,,1.6,-0.18,1.77,4.1,0.19,-0.21,0.4,1.3,0.94,0.36
Khris Middleton,MIL,Shot Creator,"2,141",SF,30,,1.58,1.35,0.24,5.5,1.78,1.82,-0.03,1.74,0.7,1.04
DeMarcus Cousins,MIL/DEN,Stretch Big,717,C,31,,1.54,1.22,0.32,1.8,1.14,0.58,0.56,1.04,0.8,0.24
Gary Trent Jr.,TOR,Secondary Ball Handler,"2,448",SG,23,,1.47,1.34,0.12,6.1,0.51,0.45,0.06,1.13,1.27,-0.13
Mike Muscala,OKC,Stretch Big,592,C,30,,1.44,0.57,0.87,1.5,1.25,0.53,0.73,0.35,0.05,0.29
Daniel Gafford,WAS,Roll + Cut Big,"1,444",C,23,,1.44,0.07,1.38,3.6,0.96,-0.31,1.27,0.75,0.27,0.47
Evan Mobley,CLE,Roll + Cut Big,"2,331",PF,20,,1.44,-0.95,2.4,5.8,1.11,-0.76,1.87,1.39,-0.91,2.3
JaVale McGee,PHO,Roll + Cut Big,"1,172",C,34,,1.43,-0.2,1.64,2.9,0.92,-0.45,1.38,1.39,0.24,1.15
Jae Crowder,PHO,Stationary Shooter,"1,886",PF,31,,1.43,-0.4,1.83,4.7,1.44,-0.51,1.95,1.91,1.28,0.63
Bogdan Bogdanovic,ATL,Secondary Ball Handler,"1,848",SG,29,,1.39,1.99,-0.6,4.5,0.49,1.27,-0.78,1.37,1.84,-0.47
Jordan Poole,GSW,Primary Ball Handler,"2,283",SG,22,,1.36,1.51,-0.15,5.5,1.15,1.39,-0.24,1.35,-0.34,1.69
Nikola Vucevic,CHI,Versatile Big,"2,418",C,31,,1.33,-0.33,1.67,5.8,1.65,0.76,0.89,0.59,-0.81,1.4
Montrezl Harrell,WAS/CHO,Post Scorer,"1,640",C,28,,1.33,1.55,-0.22,4,0.65,1.07,-0.42,0.06,0.4,-0.34
LaMelo Ball,CHO,Primary Ball Handler,"2,422",PG,20,,1.33,1.72,-0.4,5.8,1.75,2.19,-0.44,-0.72,-0.1,-0.62
Mikal Bridges,PHO,Stationary Shooter,"2,854",SF,25,,1.32,0.48,0.84,6.9,1.19,0.06,1.13,1.52,0.79,0.73
Kevin Love,CLE,Versatile Big,"1,665",PF,33,,1.27,1.28,-0.01,3.9,1.89,1.97,-0.08,-0.57,-0.23,-0.34
Mitchell Robinson,NYK,Roll + Cut Big,"1,848",C,24,,1.27,-0.34,1.62,4.4,1.3,-0.78,2.08,-0.03,0.77,-0.8
Obi Toppin,NYK,Stretch Big,"1,230",PF,24,,1.24,0.95,0.29,2.9,0.1,0.26,-0.16,0.91,0.67,0.23
Kevon Looney,GSW,Roll + Cut Big,"1,732",C,26,,1.2,-0.43,1.63,4,1.5,-0.59,2.09,0.01,0.42,-0.42
Andre Iguodala,GSW,Athletic Finisher,603,SF,38,,1.19,-0.44,1.63,1.4,0.84,-0.38,1.23,1.64,0.08,1.56
Terence Davis,SAC,Movement Shooter,536,SG,24,,1.18,0.93,0.24,1.2,0.02,0.26,-0.23,1.76,0.91,0.85
Onyeka Okongwu,ATL,Roll + Cut Big,992,C,21,,1.15,0.16,0.99,2.3,0.58,-0.7,1.28,0,0,0
Bradley Beal,WAS,Slasher,"1,439",SG,28,,1.14,0.97,0.17,3.3,0.08,1.2,-1.12,0.26,0.52,-0.26
John Collins,ATL,Versatile Big,"1,663",PF,24,,1.14,-0.04,1.18,3.8,1.49,0.82,0.66,0.78,0.81,-0.03
Klay Thompson,GSW,Off Screen Shooter,941,SG,32,,1.09,1.71,-0.62,2.1,1.2,2.16,-0.96,0,0,0
Bobby Portis,MIL,Stretch Big,"2,028",C,27,,1.09,0.12,0.97,4.6,1.25,0.7,0.55,-0.43,-0.96,0.53
Brandon Ingram,NOP,Shot Creator,"1,869",SF,24,,1.09,1.31,-0.22,4.2,0.93,1.4,-0.47,-1.32,-0.5,-0.82
Jalen Brunson,DAL,Slasher,"2,524",PG,25,,1.08,1.59,-0.51,5.7,0.66,0.83,-0.17,1.67,2.07,-0.41
Deandre Ayton,PHO,Post Scorer,"1,713",C,23,,1.07,0.41,0.66,3.8,1.53,0.45,1.08,0.14,0.39,-0.25
DeMar DeRozan,CHI,Shot Creator,"2,743",PF,32,,1.06,2.54,-1.48,6.1,1.27,2.34,-1.07,1.03,0.1,0.93
Jordan Clarkson,UTA,Secondary Ball Handler,"2,141",SG,29,,1.05,1.95,-0.9,4.8,0.45,1.78,-1.33,2.69,2.15,0.54
Lonzo Ball,CHI,Stationary Shooter,"1,212",PG,24,,1.03,-1.08,2.11,2.7,1.09,0.22,0.87,0.24,-0.99,1.23
Anthony Edwards,MIN,Shot Creator,"2,466",SG,20,,0.97,1.25,-0.27,5.4,1.1,1.52,-0.41,0.78,1.14,-0.36
Paul Reed,PHI,Roll + Cut Big,302,C,22,,0.93,-0.07,1,0.6,0.44,-0.64,1.08,0.33,0.81,-0.48
De'Anthony Melton,MEM,Movement Shooter,"1,657",SG,23,,0.91,0.04,0.87,3.5,0.8,0.24,0.56,0.96,0.53,0.43
Derrick White,SAS/BOS,Secondary Ball Handler,"2,199",SG,27,,0.89,0.28,0.61,4.7,0.49,0.47,0.02,-1.05,-1.11,0.06
Isaiah Jackson,IND,Roll + Cut Big,541,PF,20,,0.89,-0.64,1.53,1.1,0.92,-0.79,1.71,-0.46,-0.02,-0.44
Omer Yurtseven,MIA,Roll + Cut Big,706,C,23,,0.87,-0.4,1.27,1.5,0.61,-0.53,1.14,-0.47,-0.47,0.01
Justise Winslow,LAC/POR,Stretch Big,775,SF,26,,0.85,-0.08,0.93,1.6,-0.06,-0.89,0.83,-0.22,0.01,-0.22
Robert Covington,POR/LAC,Stationary Shooter,"1,939",PF-SF,31,,0.84,-1.85,2.69,4.1,-0.46,-1.85,1.4,1.34,0.32,1.02
Tyrese Haliburton,SAC/IND,Stationary Shooter,"2,694",SG-PG,22,,0.81,1.28,-0.47,5.6,1.09,1.13,-0.04,0.28,0.71,-0.43
Aaron Gordon,DEN,Stretch Big,"2,376",PF,26,,0.8,1.46,-0.66,4.9,0.26,0.41,-0.15,0.23,1.59,-1.36
Alex Caruso,CHI,Stationary Shooter,"1,147",SG,28,,0.8,-0.64,1.43,2.4,-0.11,-0.82,0.71,3.01,1.47,1.54
John Konchar,MEM,Athletic Finisher,"1,292",SG,26,,0.76,0.14,0.63,2.6,-0.49,-1.12,0.64,1.83,1.34,0.48
Tobias Harris,PHI,Shot Creator,"2,543",PF,29,,0.74,0.95,-0.21,5.2,0.3,0.25,0.05,0.25,0.34,-0.08
Bismack Biyombo,PHO,Roll + Cut Big,506,C,29,,0.73,-0.57,1.3,1,-0.35,-1.06,0.71,0,0,0
Usman Garuba,HOU,Stretch Big,240,PF,20,,0.71,-0.41,1.12,0.5,0.01,-1.25,1.26,0.65,0.5,0.15
Zach LaVine,CHI,Shot Creator,"2,328",SF,27,,0.68,1.85,-1.16,4.6,1.06,2.33,-1.27,-0.77,-0.53,-0.23
Willy Hernangomez,NOP,Post Scorer,839,C,27,,0.65,1.53,-0.88,1.7,0.34,0.66,-0.33,-0.24,0.87,-1.12
Ricky Rubio,CLE,Primary Ball Handler,970,PG,31,,0.58,-0.03,0.61,1.9,0.39,0.41,-0.02,0.22,0.17,0.05
Devonte' Graham,NOP,Primary Ball Handler,"2,162",PG,27,,0.57,1.37,-0.79,4.1,-0.15,0.67,-0.82,0.77,1.3,-0.53
Tyus Jones,MEM,Primary Ball Handler,"1,549",PG,25,,0.56,0.72,-0.16,3,0.69,1.01,-0.32,-0.4,-0.69,0.29
Cameron Johnson,PHO,Stationary Shooter,"1,730",PF,26,,0.52,0.08,0.44,3.3,0.41,0.48,-0.07,1.82,0.13,1.69
Ivica Zubac,LAC,Post Scorer,"1,852",C,25,,0.51,-1.05,1.56,3.5,0.81,-0.58,1.39,0.1,-0.26,0.35
Brook Lopez,MIL,Stretch Big,298,C,34,,0.47,-0.26,0.72,0.6,0.06,-0.19,0.25,0.53,0.3,0.24
Markelle Fultz,ORL,Shot Creator,360,PG,23,,0.47,0.31,0.16,0.7,0.39,0.38,0.01,0,0,0
Royce O'Neale,UTA,Stationary Shooter,"2,406",SF,28,,0.46,-0.65,1.11,4.4,0.79,-0.51,1.3,2.02,1.88,0.14
Spencer Dinwiddie,WAS/DAL,Shot Creator,"1,980",PG,29,,0.44,0.65,-0.21,3.6,0.58,1.11,-0.53,0.23,-0.94,1.17
D'Angelo Russell,MIN,Primary Ball Handler,"2,077",PG,26,,0.44,2.08,-1.64,3.8,1.34,2.17,-0.83,1.24,0.94,0.3
Monte Morris,DEN,Primary Ball Handler,"2,239",PG,26,,0.44,1.07,-0.63,4.1,0.57,0.86,-0.29,1.4,1.33,0.07
Deni Avdija,WAS,Stationary Shooter,"1,984",SF,21,,0.44,-0.74,1.18,3.6,-0.93,-1.34,0.4,2.92,1.09,1.83
Maxi Kleber,DAL,Stretch Big,"1,450",PF,30,,0.42,-1.21,1.64,2.6,0.08,-1.27,1.35,0.22,0.47,-0.25
Nathan Knight,MIN,Roll + Cut Big,267,PF,24,,0.42,0.23,0.19,0.5,-0.08,0.05,-0.13,0.58,0.21,0.37
Michael Porter Jr.,DEN,Movement Shooter,265,SF,23,,0.41,-0.64,1.05,0.5,-0.25,-0.4,0.15,1.67,0.16,1.5
Andrew Wiggins,GSW,Shot Creator,"2,330",SF,27,,0.4,-0.53,0.93,4.2,1.32,0.57,0.74,1.62,0.65,0.98
Bruce Brown,BRK,Roll + Cut Big,"1,774",SF,25,,0.4,0.04,0.36,3.2,0.02,-0.71,0.72,0.93,-0.05,0.98
Dillon Brooks,MEM,Slasher,885,SF,26,,0.35,0.68,-0.32,1.6,-0.53,0.44,-0.97,0.86,0.71,0.15
Nemanja Bjelica,GSW,Stretch Big,"1,143",C,33,,0.34,-0.56,0.9,2,0.56,-0.46,1.02,0.53,0.01,0.53
David Nwaba,HOU,Stretch Big,609,SF,29,,0.34,-0.36,0.7,1.1,0.2,-0.63,0.83,-0.43,-0.63,0.2
CJ McCollum,POR/NOP,Secondary Ball Handler,"2,145",SG,30,,0.33,2.22,-1.89,3.8,0.11,1.32,-1.2,-1.76,0.11,-1.87
Jerami Grant,DET,Shot Creator,"1,500",PF,28,,0.33,-0.44,0.76,2.6,-0.26,-0.01,-0.25,-1.57,-1.75,0.19
Delon Wright,ATL,Primary Ball Handler,"1,452",SG,29,,0.31,-0.56,0.87,2.5,0.33,-0.5,0.83,0.01,-1.01,1.02
Jaxson Hayes,NOP,Roll + Cut Big,"1,398",C,21,,0.3,0.09,0.21,2.4,-0.17,-0.64,0.47,-1.39,-1.07,-0.31
Alec Burks,NYK,Primary Ball Handler,"2,318",SG,30,,0.29,0.25,0.04,4,0.37,-0.27,0.64,-0.07,0.33,-0.39
Zach Collins,SAS,Stretch Big,502,PF,24,,0.28,-0.42,0.7,0.9,-0.26,-0.85,0.59,0,0,0
Xavier Tillman Sr.,MEM,Roll + Cut Big,701,PF,23,,0.28,-0.53,0.81,1.2,-0.17,-0.53,0.36,-0.2,0.03,-0.23
Dorian Finney-Smith,DAL,Stationary Shooter,"2,644",PF,28,,0.26,0.11,0.15,4.5,0.39,-0.36,0.75,1.24,1.14,0.1
Bojan Bogdanovic,UTA,Movement Shooter,"2,131",PF,32,,0.23,1.68,-1.44,3.6,0.84,1.85,-1,1,1.39,-0.4
Cameron Payne,PHO,Primary Ball Handler,"1,278",PG,27,,0.22,-0.05,0.27,2.2,-0.33,0.22,-0.56,-1.05,-1.52,0.48
Jaylen Nowell,MIN,Secondary Ball Handler,975,SG,22,,0.2,1.35,-1.15,1.6,-0.48,0.63,-1.11,0.11,0.63,-0.52
Dwight Powell,DAL,Roll + Cut Big,"1,798",C,30,,0.19,-0.04,0.23,3,0.43,-0.12,0.54,-1.25,-1.27,0.02
Moses Brown,DAL/CLE,Roll + Cut Big,344,C,22,,0.19,-0.51,0.7,0.6,-0.04,-0.56,0.52,1.19,0.34,0.85
Freddie Gillespie,ORL,Roll + Cut Big,119,PF,24,,0.19,-1.08,1.27,0.2,-0.31,-1.09,0.79,0,0,0
Dwight Howard,LAL,Roll + Cut Big,971,C,36,,0.17,-0.78,0.95,1.6,0.42,-0.76,1.18,0.11,-0.55,0.65
Jalen Smith,PHO/IND,Stretch Big,924,PF,22,,0.17,0.55,-0.38,1.5,0.08,0.1,-0.02,0.34,0.33,0.02
P.J. Tucker,MIA,Stretch Big,"1,981",PF,36,,0.16,-0.97,1.13,3.3,0.11,-1.1,1.2,1.21,0.81,0.4
OG Anunoby,TOR,Shot Creator,"1,728",SF,24,,0.15,-0.27,0.42,2.8,0.13,0.04,0.09,-0.44,0.2,-0.64
Josh Hart,NOP/POR,Stationary Shooter,"1,791",SG-SF,27,,0.08,-0.53,0.61,2.9,0.69,0.09,0.6,-1.4,-0.75,-0.65
Devin Vassell,SAS,Movement Shooter,"1,937",SF,21,,0.08,-0.67,0.75,3.1,-0.49,-0.43,-0.06,-0.22,0.19,-0.42
Kelly Olynyk,DET,Stretch Big,764,C,30,,0.07,0.24,-0.18,1.2,-0.11,-0.11,0,0.3,0.32,-0.02
Thomas Bryant,WAS,Stretch Big,439,C,24,,0.06,-0.78,0.85,0.7,0.26,-0.56,0.81,0,0,0
Tony Bradley,CHI,Roll + Cut Big,549,C,24,,0.04,-1.56,1.6,0.9,-0.87,-2.03,1.15,1.86,0.43,1.44
Franz Wagner,ORL,Secondary Ball Handler,"2,429",SF,20,,0.04,-0.17,0.21,3.8,-1.87,-1.4,-0.47,-0.7,-0.49,-0.21
Jeremy Lamb,IND/SAC,Secondary Ball Handler,935,SF-SG,29,,0.03,0.11,-0.08,1.5,-0.3,-0.03,-0.27,-0.92,-0.19,-0.73
Trevelin Queen,HOU,Movement Shooter,74,SG,25,,0.03,0.13,-0.1,0.1,-0.04,0.06,-0.1,0,0,0
P.J. Washington,CHO,Stretch Big,"1,768",PF,23,,0.02,-0.18,0.2,2.7,-0.73,-0.74,0.01,-1.72,-0.22,-1.5
Lindy Waters III,OKC,Movement Shooter,465,SG,24,,0,-0.19,0.18,0.7,-0.37,-0.36,-0.01,0,0,0
Jeff Green,DEN,Stretch Big,"1,849",C,35,,-1,-0.78,-0.23,1.6,-0.76,-0.56,-0.2,0.29,1.38,-1.09
Russell Westbrook,LAL,Shot Creator,"2,678",PG,33,,-1,0.18,-1.18,2.4,-0.79,-0.01,-0.79,0.95,0.79,0.15
Gorgui Dieng,ATL,Stretch Big,371,C,32,,-0.01,-0.62,0.61,0.6,0.83,-0.05,0.88,0.45,-0.3,0.75
Tyrone Wallace,NOP,Athletic Finisher,75,SG,27,,-1,-0.89,-0.1,0.1,-0.84,-0.87,0.03,0,0,0
Aaron Holiday,WAS/PHO,Slasher,"1,021",PG,25,,-1,-1.01,0.01,0.9,-1.41,-1,-0.41,-1.7,-0.35,-1.35
Oshae Brissett,IND,Athletic Finisher,"1,564",SF,23,,-1,-0.09,-0.91,1.4,-1.19,-0.37,-0.83,-0.9,-0.59,-0.31
Javonte Green,CHI,Stretch Big,"1,519",SF,28,,-0.01,-1.11,1.11,2.3,-0.53,-1.1,0.57,0.16,-0.69,0.85
Reggie Bullock,DAL,Stationary Shooter,"1,902",SF,31,,-0.07,-0.31,0.24,2.8,-0.99,-0.92,-0.06,-0.15,-0.33,0.18
Mason Plumlee,CHO,Roll + Cut Big,"1,793",C,32,,-0.08,-1.64,1.55,2.7,0.17,-1.09,1.27,-0.77,-0.73,-0.04
Moritz Wagner,ORL,Stretch Big,960,C,24,,-0.08,0.96,-1.04,1.4,0.2,0.4,-0.19,-0.21,0.86,-1.06
Mo Bamba,ORL,Stretch Big,"1,824",C,23,,-0.09,-2.26,2.17,2.7,0.41,-1.37,1.77,-1.7,-1.71,0.01
Sekou Doumbouya,LAL,Stretch Big,16,PF,21,,-0.1,-0.1,0,0,-0.25,-0.08,-0.17,0.52,0.01,0.51
Jordan Schakel,WAS,Athletic Finisher,30,SG,23,,-0.1,-0.19,0.09,0,-0.23,-0.21,-0.02,0,0,0
Jaime Echenique,WAS,Low Minute,3,C,24,,-0.11,-0.11,0,0,-0.1,-0.1,-0.01,0,0,0
Grayson Allen,MIL,Movement Shooter,"1,805",SG,26,,-0.12,-0.51,0.39,2.6,0.15,0.23,-0.08,0.01,-0.06,0.07
Tristan Thompson,SAC/IND/CHI,Roll + Cut Big,896,PF,31,,-0.14,0.02,-0.16,1.3,-0.98,-0.94,-0.04,-0.79,0.76,-1.55
Keldon Johnson,SAS,Stationary Shooter,"2,392",SF,22,,-0.14,-0.06,-0.08,3.5,-0.19,0.31,-0.5,-0.67,-1.6,0.93
Cole Anthony,ORL,Primary Ball Handler,"2,059",PG,21,,-0.14,0.05,-0.19,3,-0.87,-0.46,-0.41,0.01,0.91,-0.91
Jarred Vanderbilt,MIN,Roll + Cut Big,"1,881",PF,23,,-0.15,-0.97,0.82,2.7,0.58,-0.97,1.55,-0.11,0.1,-0.21
Terance Mann,LAC,Athletic Finisher,"2,317",SF,25,,-0.15,-0.42,0.27,3.3,-1.17,-1.06,-0.11,0.84,-0.07,0.91
Matisse Thybulle,PHI,Stretch Big,"1,685",SG,25,,-0.15,-1.9,1.74,2.4,-0.32,-2.19,1.87,0.12,0.29,-0.17
Joel Ayayi,WAS,Athletic Finisher,20,SG,22,,-0.15,-0.19,0.04,0,-0.16,-0.15,-0.01,-0.06,-0.12,0.06
Kenrich Williams,OKC,Stretch Big,"1,072",SF,27,,-0.16,-1.13,0.97,1.5,-1.53,-1.32,-0.21,1.48,-0.02,1.5
Jay Huff,LAL,Low Minute,20,C,24,,-0.17,-0.21,0.04,0,-0.33,-0.16,-0.17,0.39,0.11,0.28
Jared Harper,NOP,Slasher,43,PG,24,,-0.18,0.14,-0.32,0.1,-0.07,0.05,-0.12,0,0,0
Danilo Gallinari,ATL,Versatile Big,"1,672",PF,33,,-0.19,1.1,-1.29,2.4,-0.12,0.6,-0.72,-1.48,0.05,-1.54
LaMarcus Aldridge,BRK,Post Scorer,"1,050",C,36,,-0.2,0.31,-0.51,1.5,-0.23,0.03,-0.26,0.11,0.98,-0.87
Luke Kennard,LAC,Movement Shooter,"1,919",SG,25,,-0.2,0.08,-0.28,2.7,-1.04,-0.19,-0.84,1.47,0.17,1.3
Naz Reid,MIN,Stretch Big,"1,215",C,22,,-0.2,-1.01,0.81,1.7,0.12,-0.33,0.45,-1.22,-1.42,0.21
Jordan Goodwin,WAS,Secondary Ball Handler,6,SG,23,,-0.2,-0.16,-0.04,0,-0.11,-0.11,-0.01,0,0,0
